Username,location,date,content,Rating
Sonia Cuilty,US,"Feb 25, 2021Verified","The item I ordered arrived very…The item I ordered arrived very promptly and was pack really well.The quality of the 3-PieceTall Metal Ribbon Cake Stand Set is very good and as described.  The pricing of the Cake Stand Set was very reasonable based on the quality.   I was very please with the huge selection  cake stand and other items, and will not hesitate to order again from Amalfi Decor.Sincerely, Ms. CuiltyDate of experience: February 25, 2021",5
Paula Firebaugh,US,"Nov 24, 2020Verified","Great serviceGreat service.  Ordered online and had the chandelier within days.  There was some confusion as to when it would arrive as the date to receive at my home kept moving but in the end, it came in within a day of the original date.Date of experience: November 24, 2020",5
Grace Drutman,US,"Jan 29, 2021Verified","The customer service is amazingThe customer service is amazing, I never experienced something like this. They go out of their way to help in any way. I totally recommend Amalfi. Products  are beautiful!Date of experience: January 29, 2021",5
Debbie Dunton,US,"Jan 16, 2021Verified","Lamp okay, glass drops are drekIt is a good thing that I was not planning on using the hanging glass drops on this lamp.  They were barely attached and the small wire rings that were supposed to hold them in place were of a smaller mil wire than a paper clip.  It took me less than 5 minutes to remove them when I took the lamp out of the bo.  Some of them were not really attached to the lamp at all.  The lamp itself seems okay although I have not yet had it installed.  The lamp itself is of a hefty weight and I like the shade.  If you want to use this lamp without the cheap bric a brac like I am you will probably be okay.Date of experience: January 16, 2021",2
Le Macaron Brookfield WI,US,"Dec 8, 2020Verified","Product is more expensive than…Product is more expensive than competitors but is also better quality. Well package in boxes than can be use for storage to protect the display from being damaged or gathering dust.Date of experience: December 08, 2020",5
Regina,US,"Dec 16, 2020Verified","Fast service and shippingFast service and shipping.  These are our favorite cupcake holders for Weddings.  We already have the gold ones so this was a perfect addition to our Wedding stands.Thank you!Date of experience: December 16, 2020",5
Josi Hart,US,"Jul 25, 2021Verified","I received this very quickly and…love itI received this very quickly and packaged well.  I understand why some say it takes a bit of time to put the crystals on because it should!  It’s packaged so to protect the fragile parts.  No complaints, it’s beautiful.Date of experience: July 25, 2021",5
Maria Isabel  Lithgow,DO,"Jul 27, 2021Verified","I love these cake stands!!I love these cake stands!!! They a great addition to my everyday content creating tools. They are so simple in design, yet very elegant and versitile. I love the variety of colors you have. Hoping they get restocked soon!!!!Date of experience: July 27, 2021",5
Sabrina J,US,"Mar 4, 2021Verified","First Time BuyerI ordered two cake stands, rose gold and black.  I did expedited shipping and they arrived in 3 days in perfect condition.  Very sturdy and clean lines.   I will be purchasing more in the future!Date of experience: March 04, 2021",5
Commonwealth Cake Company ,US,"Oct 7, 2020Verified","Perfect cake stands!The cake stands I purchased elevated the cake and desserts to new heights (pun intended)!  They were the perfect addition to my clients wedding.  I will definitely order again!Date of experience: October 07, 2020",5
Barbie Cates,US,"Oct 14, 2020Verified","Beautiful cake stand and very quick…Beautiful cake stand and very quick delivery! The product was even better than expected. Very good quality. Definitely will order from this company again!Date of experience: October 14, 2020",5
Lupita Garduno,US,"Jun 1, 2021Verified","I unexpectedly received my package…I unexpectedly received my package literally the next day after ordering! I had no idea shipping was that fast, I didn't pay for priority or anything like that so I was very pleasantly surprised!Date of experience: June 01, 2021",5
Susan R Wauer,US,"Jan 21, 2021Verified","Perfect touch for a bit of glam!Perfect touch for a bit of glam!Love the candles, love the crystal and the graceful lines. And since it plugs into the wall and hangs on a ceiling hook...it saves making a hole in the ceiling and having to call the electrician to wire a chandelier.Perfect!Date of experience: January 21, 2021",5
Asheena Ayube,US,"Jan 2, 2021Verified","Absolutely love it!These cake stands are so pretty and so perfect. I got the 3-Piece Glass Top Crystal Cake Stand Set in gold, silver and rose gold and its so beautiful! I would definitely recommend buying these. Packing was great. No cracks, no chips. And it came on time.Date of experience: January 02, 2021",5
Disappointed Customer,US,"Apr 15, 2022Verified","No response from customer serviceI have not received the ordered product and have received no responses to multiple emails / voicemails to customer service seeking information regarding my order status.I previously ordered the product multiple times and had no problems, so I do not understand what is happening this time....Date of experience: April 15, 2022",1
Mary Gerke,US,"Oct 14, 2020Verified","This is the first time I have done…thank you for a great job.This is the first time I have done business with this company. Real easy. It was very well packed. I purchased a mini chandelier for my camper. I had the tracker and watched it leave California and made it to Florida in no time but was stuck in Pensacola due to Hurricane Sally. But received it very quickly. Looking forward to doing business if need be.Date of experience: October 14, 2020",5
Diane M Tenney,US,"Jun 2, 2021Verified","This silver pedestal cake plate was…beautiful.This silver pedestal cake plate was purchased for my son’s wedding cake.  It arrived in a timely manner, was good quality, and beautiful.Date of experience: June 02, 2021",5
Diana De Aza,US,"Mar 21, 2022Verified","Bad because 1 of my item came damage…Bad because 1 of my item came damage and I sent 3 emails and nobody answer my email to find a solución bad service andDate of experience: March 21, 2022",1
Sharon,US,"Dec 11, 2020Verified","These are simply Beautiful!!!These are simply Beautiful, I love them, they  looks so expensive, very sturdy, they were also packaged and received on time.Date of experience: December 11, 2020",5
Eva,CA,"Aug 3, 2021Verified","The product seems to be very good…The product seems to be very good qualiy (haven't used it yet) my only issue is the color it seemed more shiny gold on the picture. In reality it's almost bronze. Everything else is perfectDate of experience: August 03, 2021",4
Betsy ,US,"May 12, 2021Verified","I was very impressed with my beautiful…I was very impressed with my beautiful cup cake holder.  It is such a quality item and arrived in just days!  Will use Amalfi again and recommend to my friends and family.Date of experience: May 12, 2021",5
